image,x,y,time
frame00000.jpg,0.08232144,0.02342345,0
frame00005.jpg,0.08232144,0.02342345,5
frame00010.jpg,0.08232144,0.02342345,10
frame00015.jpg,0.08232144,0.02342345,15
frame00020.jpg,0.08232144,0.02342345,20
frame00025.jpg,0.108932234,0.08234234,25
frame00030.jpg,0.108932234,0.08234234,30
frame00035.jpg,0.108932234,0.08234234,35
frame00040.jpg,0.108932234,0.08234234,40
frame00045.jpg,0.108932234,0.08234234,45
frame00050.jpg,0.1110803746,0.126662489,50
frame00055.jpg,0.2003865764,0.2359490022,55
frame00060.jpg,0.2758818567,0.2931248769,60
frame00065.jpg,0.3398118392,0.3700226918,65
frame00070.jpg,0.3551693782,0.3706338704,70
frame00075.jpg,0.3569760695,0.3738896474,75
frame00080.jpg,0.3569760695,0.3738896474,80
frame00085.jpg,0.3569760695,0.3738896474,85
frame00090.jpg,0.3569760695,0.3738896474,90
frame00095.jpg,0.3569760695,0.3738896474,95
frame00100.jpg,0.3569760695,0.3738896474,100
frame00105.jpg,0.4848330468,0.5333916843,105
frame00110.jpg,0.4848330468,0.5333916843,110
frame00115.jpg,0.4848330468,0.5333916843,115
frame00120.jpg,0.4721804112,0.5226544142,120
frame00125.jpg,0.4721804112,0.5226544142,125
frame00130.jpg,0.4721804112,0.5226544142,130
frame00135.jpg,0.4355055615,0.5004920959,135
frame00140.jpg,0.4389742389,0.4950234443,140
frame00145.jpg,0.441282846,0.4951981157,145
frame00150.jpg,0.4394370615,0.4959489852,150
frame00155.jpg,0.4339492768,0.4872218221,155
frame00160.jpg,0.4348205402,0.4892637581,160
frame00165.jpg,0.4275659174,0.4835556895,165
frame00170.jpg,0.4317992255,0.4586012959,170
frame00175.jpg,0.4309630394,0.4523435086,175
frame00180.jpg,0.4284269437,0.4516237378,180
frame00185.jpg,0.4238228202,0.4444757923,185
